stem,true_class,pred_class,n
1,background,background,50968
1,background,earth,3673
1,background,grass,6026
1,background,animal,2519
1,background,mountain,11
1,background,person,48
1,background,shrub_bush,5889
1,background,sky,388
1,background,tree_broadleaf,5204
1,background,wooded_mass,2915
1,background,Water,1504
1,earth,background,4259
1,earth,earth,15119
1,earth,grass,206
1,earth,animal,69
1,earth,shrub_bush,34
1,earth,Water,7718
1,grass,background,10115
1,grass,earth,14
1,grass,grass,181
1,grass,shrub_bush,25073
1,grass,Water,2545
1,animal,background,2194
1,animal,earth,4
1,animal,animal,20449
1,animal,person,71
1,animal,Water,16
1,mountain,background,362
1,mountain,mountain,280
1,mountain,sky,1
1,mountain,wooded_mass,1317
1,person,background,2071
1,person,earth,19
1,person,animal,11
1,person,person,716
1,person,tree_broadleaf,85
1,person,wooded_mass,1
1,rock,background,4152
1,rock,tree_broadleaf,440
1,sky,background,4572
1,sky,mountain,10
1,sky,sky,57517
1,sky,tree_broadleaf,63
1,sky,wooded_mass,1
1,sky,Water,2036
1,tree_broadleaf,background,18093
1,tree_broadleaf,shrub_bush,4317
1,tree_broadleaf,sky,3
1,tree_broadleaf,tree_broadleaf,237321
1,tree_broadleaf,wooded_mass,6
1,wooded_mass,wooded_mass,2865
1,Water,background,3676
1,Water,grass,1475
1,Water,animal,154
1,Water,shrub_bush,27
1,Water,Water,22397
10,background,background,35680
10,background,building,526
10,background,grass,3195
10,background,animal,4443
10,background,mountain,145
10,background,person,2130
10,background,shrub_bush,813
10,background,sky,1433
10,background,tree_broadleaf,244
10,background,wooded_mass,917
10,building,background,3148
10,building,building,8025
10,building,animal,2
10,building,sky,5
10,building,tree_broadleaf,437
10,building,wooded_mass,2554
10,earth,background,14995
10,earth,grass,1165
10,earth,animal,43
10,earth,person,19
10,earth,wooded_mass,81
10,grass,background,1537
10,grass,grass,50541
10,grass,animal,41
10,grass,shrub_bush,2540
10,animal,background,5029
10,animal,grass,10
10,animal,animal,51443
10,animal,person,252
10,animal,shrub_bush,46
10,animal,wooded_mass,10
10,person,background,2864
10,person,animal,41
10,person,person,13326
10,shrub_bush,background,5168
10,shrub_bush,grass,4634
10,shrub_bush,animal,275
10,shrub_bush,shrub_bush,59200
10,shrub_bush,tree_broadleaf,133
10,sky,background,3215
10,sky,building,216
10,sky,person,25
10,sky,sky,221529
10,sky,tree_broadleaf,1
10,tree_broadleaf,background,232
10,tree_broadleaf,tree_broadleaf,2652
10,wooded_mass,background,573
10,wooded_mass,building,50
10,wooded_mass,tree_broadleaf,3217
100,background,background,51892
100,background,building,716
100,background,earth,258
100,background,grass,3228
100,background,animal,308
100,background,mountain,1008
100,background,person,1037
100,background,shrub_bush,4437
100,background,sky,4132
100,background,tree_broadleaf,8780
100,background,wooded_mass,598
100,background,Water,171
100,building,background,800
100,building,building,20563
100,building,mountain,32
100,earth,background,16229
100,earth,earth,5038
100,earth,grass,929
100,earth,animal,97
100,earth,person,6
100,earth,shrub_bush,23064
100,earth,Water,301
100,grass,background,6521
100,grass,grass,11345
100,grass,tree_broadleaf,95
100,animal,background,853
100,animal,animal,331
100,animal,person,3
100,mountain,background,2234
100,mountain,building,95
100,mountain,mountain,2524
100,mountain,sky,6649
100,mountain,tree_broadleaf,12
100,person,background,3091
100,person,earth,19
100,person,grass,96
100,person,animal,4287
100,person,person,17450
100,rock,background,3249
100,rock,grass,1157
100,rock,animal,704
100,rock,shrub_bush,956
100,rock,Water,7
100,shrub_bush,background,1232
100,shrub_bush,person,3
100,shrub_bush,shrub_bush,6474
100,shrub_bush,Water,71
100,sky,background,1109
100,sky,mountain,57
100,sky,sky,128099
100,sky,tree_broadleaf,7
100,tree_broadleaf,background,4767
100,tree_broadleaf,building,369
100,tree_broadleaf,mountain,60
100,tree_broadleaf,person,2
100,tree_broadleaf,sky,17
100,tree_broadleaf,tree_broadleaf,125712
100,tree_broadleaf,wooded_mass,4797
100,wooded_mass,background,438
100,wooded_mass,mountain,109
100,wooded_mass,wooded_mass,1145
100,Water,background,2607
100,Water,earth,56
100,Water,shrub_bush,4206
100,Water,Water,4561
1000,background,background,25378
1000,background,building,74
1000,background,earth,1352
1000,background,animal,704
1000,background,person,220
1000,background,sky,3931
1000,background,Water,4071
1000,building,background,5031
1000,building,building,1533
1000,building,animal,891
1000,building,sky,15
1000,grass,background,11413
1000,grass,earth,15097
1000,grass,animal,13
1000,grass,person,11
1000,grass,shrub_bush,1011
1000,grass,Water,1073
1000,animal,background,3401
1000,animal,animal,4537
1000,animal,person,202
1000,animal,Water,276
1000,person,background,515
1000,person,person,651
1000,shrub_bush,background,3277
1000,shrub_bush,earth,140
1000,shrub_bush,shrub_bush,1109
1000,shrub_bush,Water,392
1000,sky,background,925
1000,sky,sky,306452
1000,Water,background,1157
1000,Water,earth,304
1000,Water,animal,6
1000,Water,sky,258
1000,Water,Water,66980
10000,background,background,75338
10000,background,building,437
10000,background,earth,546
10000,background,grass,326
10000,background,animal,47
10000,background,path_road,270
10000,background,person,754
10000,background,shrub_bush,795
10000,background,sky,2204
10000,background,tree_broadleaf,1745
10000,background,wooded_mass,1675
10000,background,Water,844
10000,building,background,156
10000,building,building,10221
10000,earth,background,723
10000,earth,earth,10383
10000,grass,background,1630
10000,grass,grass,8357
10000,grass,path_road,54
10000,grass,person,6
10000,grass,Water,57
10000,animal,background,33
10000,animal,animal,198
10000,path_road,background,368
10000,path_road,grass,35
10000,path_road,path_road,2303
10000,person,background,560
10000,person,animal,40
10000,person,person,4219
10000,person,tree_broadleaf,3
10000,person,Water,8
10000,shrub_bush,background,448
10000,shrub_bush,shrub_bush,8924
10000,sky,background,961
10000,sky,sky,152159
10000,sky,tree_broadleaf,2
10000,tree_broadleaf,background,1622
10000,tree_broadleaf,tree_broadleaf,123852
10000,wooded_mass,background,24
10000,wooded_mass,sky,2
10000,wooded_mass,wooded_mass,2126
10000,Water,background,2207
10000,Water,person,4
10000,Water,Water,32134
100000,background,background,47500
100000,background,earth,25941
100000,background,shrub_bush,6153
100000,background,sky,999
100000,background,tree_broadleaf,3174
100000,path_road,background,10
100000,path_road,earth,45499
100000,rock,background,25163
100000,rock,earth,176391
100000,sky,background,2730
100000,sky,sky,69128
100000,sky,tree_broadleaf,8
100000,tree_conical,background,30078
100000,tree_conical,earth,2
100000,tree_conical,shrub_bush,253589
100000,tree_conical,tree_broadleaf,862035
123,background,background,54417
123,background,building,5911
123,background,earth,6270
123,background,animal,543
123,background,mountain,381
123,background,person,111
123,background,rock,876
123,background,shrub_bush,20872
123,background,sky,5823
123,background,tree_broadleaf,6406
123,building,background,7040
123,building,building,45752
123,building,animal,7
123,building,rock,32194
123,building,shrub_bush,207
123,building,tree_broadleaf,1210
123,earth,background,3067
123,earth,earth,55172
123,animal,background,2370
123,animal,building,103
123,animal,earth,20
123,animal,animal,5179
123,animal,rock,97
123,mountain,background,835
123,mountain,mountain,6587
123,mountain,sky,24
123,mountain,tree_broadleaf,8
123,person,background,1357
123,person,earth,5
123,person,animal,1331
123,person,person,1776
123,rock,background,1118
123,rock,rock,10463
123,rock,shrub_bush,48
123,shrub_bush,background,5947
123,shrub_bush,earth,1604
123,shrub_bush,mountain,16
123,shrub_bush,rock,3
123,shrub_bush,shrub_bush,25458
123,shrub_bush,tree_broadleaf,25738
123,sky,background,861
123,sky,mountain,33
123,sky,sky,130844
123,sky,tree_broadleaf,17
123,tree_conical,background,3915
123,tree_conical,building,2
123,tree_conical,sky,43
123,tree_conical,tree_broadleaf,94141
123,tree_broadleaf,background,3852
123,tree_broadleaf,building,341
123,tree_broadleaf,shrub_bush,40
123,tree_broadleaf,sky,95
123,tree_broadleaf,tree_broadleaf,7063
123,Water,background,185
123,Water,earth,4373
123,Water,shrub_bush,1049
211,background,background,45350
211,background,building,183
211,background,earth,150
211,background,grass,1900
211,background,animal,1379
211,background,mountain,145
211,background,person,326
211,background,sky,791
211,background,tree_broadleaf,4434
211,background,wooded_mass,533
211,building,background,170
211,building,building,1686
211,earth,background,13897
211,earth,earth,54629
211,earth,grass,16814
211,earth,animal,98
211,earth,person,12
211,grass,background,341
211,grass,grass,4316
211,grass,animal,67
211,animal,background,1305
211,animal,grass,18
211,animal,animal,35530
211,animal,tree_broadleaf,20
211,animal,wooded_mass,82
211,mountain,background,115
211,mountain,mountain,1622
211,mountain,tree_broadleaf,1
211,mountain,wooded_mass,9
211,person,background,274
211,person,animal,19
211,person,person,8188
211,sky,background,5476
211,sky,sky,115043
211,sky,tree_broadleaf,11
211,tree_broadleaf,background,5537
211,tree_broadleaf,animal,13
211,tree_broadleaf,sky,46
211,tree_broadleaf,tree_broadleaf,224144
211,tree_broadleaf,wooded_mass,32
211,wooded_mass,background,464
211,wooded_mass,grass,43
211,wooded_mass,animal,47
211,wooded_mass,mountain,11
211,wooded_mass,tree_broadleaf,52
211,wooded_mass,wooded_mass,9877
232,background,background,74416
232,background,mountain,130
232,background,rock,8037
232,background,shrub_bush,11609
232,background,sky,2142
232,background,tree_conical,4131
232,background,tree_broadleaf,2096
232,background,wooded_mass,5564
232,background,Water,11095
232,building,background,7627
232,building,building,589
232,building,rock,671
232,building,tree_broadleaf,70
232,mountain,background,3880
232,mountain,mountain,18960
232,mountain,sky,27
232,mountain,wooded_mass,3079
232,rock,background,16101
232,rock,rock,16417
232,rock,shrub_bush,7957
232,rock,tree_conical,161
232,rock,tree_broadleaf,6362
232,rock,Water,4572
232,sky,background,1976
232,sky,sky,241815
232,sky,tree_conical,7
232,tree_conical,background,6699
232,tree_conical,shrub_bush,3285
232,tree_conical,sky,1
232,tree_conical,tree_conical,34339
232,tree_broadleaf,background,1946
232,tree_broadleaf,shrub_bush,220
232,tree_broadleaf,sky,12
232,tree_broadleaf,tree_conical,10630
232,tree_broadleaf,wooded_mass,1436
232,wooded_mass,background,3852
232,wooded_mass,mountain,30
232,wooded_mass,tree_conical,414
232,wooded_mass,tree_broadleaf,22640
232,wooded_mass,wooded_mass,4667
232,Water,background,6076
232,Water,rock,192
232,Water,shrub_bush,53
232,Water,Water,57217
37,background,background,11717
37,background,building,209
37,background,earth,4591
37,background,grass,1213
37,background,person,126
37,background,sky,1662
37,background,tree_broadleaf,2421
37,building,background,12324
37,building,building,10085
37,building,person,76
37,building,tree_broadleaf,123
37,grass,background,4531
37,grass,earth,15968
37,grass,grass,38386
37,grass,person,4
37,path_road,background,199
37,path_road,earth,14755
37,path_road,grass,2
37,person,background,34
37,person,grass,7
37,person,person,133
37,shrub_bush,background,2351
37,shrub_bush,building,6
37,shrub_bush,tree_broadleaf,6857
37,sky,background,1366
37,sky,sky,151096
37,sky,tree_broadleaf,159
37,tree_broadleaf,background,2369
37,tree_broadleaf,building,16
37,tree_broadleaf,person,34
37,tree_broadleaf,sky,64
37,tree_broadleaf,tree_broadleaf,53116
70,background,background,136258
70,background,earth,3043
70,background,grass,611
70,background,animal,11119
70,background,mountain,202
70,background,person,6748
70,background,rock,1562
70,background,sky,790
70,background,Water,2321
70,earth,background,6683
70,earth,earth,24074
70,earth,animal,22
70,earth,person,97
70,earth,Water,3
70,grass,background,36975
70,grass,earth,3443
70,grass,grass,1349
70,grass,animal,8
70,grass,Water,203
70,mountain,background,1092
70,mountain,mountain,2715
70,mountain,wooded_mass,5
70,person,background,7510
70,person,earth,86
70,person,animal,12147
70,person,person,19576
70,sky,background,2495
70,sky,mountain,14
70,sky,sky,55846
70,sky,Water,108
70,Water,background,47600
70,Water,earth,1007
70,Water,animal,6
70,Water,Water,112682
N-0134-00-000011-wpu,background,background,37964
N-0134-00-000011-wpu,background,building,5170
N-0134-00-000011-wpu,background,earth,12038
N-0134-00-000011-wpu,background,animal,185
N-0134-00-000011-wpu,background,rock,25
N-0134-00-000011-wpu,background,shrub_bush,463
N-0134-00-000011-wpu,background,sky,3075
N-0134-00-000011-wpu,background,tree_broadleaf,2643
N-0134-00-000011-wpu,background,Water,7883
N-0134-00-000011-wpu,building,background,15119
