Image_Name,median_date,latitude,longitude,painter,school,dutch_core,habitat
10.jpg,1837,55.686925,12.559814,Christen Købke,Dutch & Northern,FALSE,urban/architectural landscape
100.jpg,1656,41.9,12.483333,Karel Dujardin,Dutch & Northern,TRUE,open countryside
101.jpg,1691,42.833333,12.833333,Crescenzio Onofri,Classicism & Neoclassicism,FALSE,river/lakeside landscape
102.jpg,1691,42.833333,12.833333,Crescenzio Onofri,Classicism & Neoclassicism,FALSE,mountain/rocky landscape
103.jpg,1660,41.9,12.483333,Gaspard Dughet,Classicism & Neoclassicism,FALSE,woodland landscape
104.jpg,1775,45.438611,12.326667,Giuseppe Zais,Baroque,FALSE,river/lakeside landscape
105.jpg,1811,44.016667,10.583333,François-Xavier Fabre,Classicism & Neoclassicism,FALSE,woodland landscape
106.jpg,1770,45.438611,12.326667,Giuseppe Zais,Baroque,FALSE,open countryside
107.jpg,1638.5,41.966667,12.666667,Nicolas Poussin,Classicism & Neoclassicism,FALSE,mountain/rocky landscape
108.jpg,1824,41.966667,12.8,Antoine-Victor-Edmond-Madeleine Joinville,Classicism & Neoclassicism,FALSE,mountain/rocky landscape
109.jpg,1791,41.966667,12.8,Simon Denis,Classicism & Neoclassicism,FALSE,mountain/rocky landscape
11.jpg,1821,51.966667,1.016667,John Constable,Romanticism,FALSE,river/lakeside landscape
110.jpg,1670,41.966667,12.8,Gaspard Dughet,Classicism & Neoclassicism,FALSE,woodland landscape
111.jpg,1670,41.733333,12.65,Gaspard Dughet,Classicism & Neoclassicism,FALSE,woodland landscape
112.jpg,1697,41.9,12.483333,Jan-Baptist Huysmans,Rococo & Arcadian,FALSE,woodland landscape
113.jpg,1642.5,42.833333,12.833333,Jan Both,Dutch & Northern,TRUE,woodland landscape
114.jpg,1611,42.833333,12.833333,Giovanni Battista Viola,Baroque,FALSE,river/lakeside landscape
115.jpg,1775,45.438611,12.326667,Giuseppe Zais,Baroque,FALSE,river/lakeside landscape
116.jpg,1713,42.833333,12.833333,Hendrik Frans van Lint,Italianate & Vedute,FALSE,woodland landscape
117.jpg,1645,41.9,12.483333,Jan Both,Dutch & Northern,TRUE,mountain/rocky landscape
118.jpg,1652.5,41.9,12.483333,Karel Dujardin,Dutch & Northern,TRUE,open countryside
119.jpg,1637,41.9,12.483333,Nicolas Poussin,Classicism & Neoclassicism,FALSE,open countryside
12.jpg,1754,51.483036,-0.612248,Canaletto,Rococo & Arcadian,FALSE,river/lakeside landscape
120.jpg,1641,43.596746,11.01545,Salvator Rosa,Baroque,FALSE,mountain/rocky landscape
121.jpg,1630,41.9,12.483333,Cornelis van Poelenburgh,Italianate & Vedute,FALSE,urban/architectural landscape
122.jpg,1760,42.833333,12.833333,Francesco Zuccarelli,Baroque,FALSE,open countryside
123.jpg,1660,41.9,12.483333,Frederick de Moucheron,Italianate & Vedute,FALSE,urban/architectural landscape
124.jpg,1645,41.9,12.483333,Jan Both,Dutch & Northern,TRUE,mountain/rocky landscape
125.jpg,1752,41.9,12.483333,Claude-Joseph Vernet,Classicism & Neoclassicism,FALSE,river/lakeside landscape
126.jpg,1739,45.438611,12.326667,Michele Marieschi,Italianate & Vedute,FALSE,urban/architectural landscape
127.jpg,1658,42.833333,12.833333,Nicolaes Berchem,Dutch & Northern,TRUE,woodland landscape
128.jpg,1677.5,41.9,12.483333,Abraham Begeijn,Dutch & Northern,TRUE,urban/architectural landscape
129.jpg,1670,42.077619,12.778783,Lodewijck van Ludick,Dutch & Northern,TRUE,mountain/rocky landscape
13.jpg,1816.5,50.636111,-2.418889,John Constable,Romanticism,FALSE,coastal landscape
130.jpg,1739,42.833333,12.833333,Michele Marieschi,Italianate & Vedute,FALSE,river/lakeside landscape
131.jpg,1662,42.833333,12.833333,Adriaen van de Velde,Dutch & Northern,TRUE,river/lakeside landscape
132.jpg,1652,42.833333,12.833333,Pieter Verbeeck,Dutch & Northern,TRUE,open countryside
133.jpg,1855,42.077619,12.778783,Henri-Joseph Harpignies,Realism & Barbizon,FALSE,river/lakeside landscape
134.jpg,1667.5,42.833333,12.833333,Frederick de Moucheron,Italianate & Vedute,FALSE,urban/architectural landscape
135.jpg,1657.5,42.833333,12.833333,Nicolaes Berchem,Dutch & Northern,TRUE,river/lakeside landscape
136.jpg,1657,41.9,12.483333,Karel Dujardin,Dutch & Northern,TRUE,river/lakeside landscape
137.jpg,1867.5,42.833333,12.833333,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,river/lakeside landscape
138.jpg,1858,42.833333,12.833333,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,mountain/rocky landscape
139.jpg,1652.5,42.833333,12.833333,Nicolaes Berchem,Dutch & Northern,TRUE,mountain/rocky landscape
14.jpg,1820,51.066667,-1.783333,John Constable,Romanticism,FALSE,river/lakeside landscape
140.jpg,1657.5,52.25,5.75,Jacob van Ruisdael,Dutch & Northern,TRUE,woodland landscape
141.jpg,1861,52.371424,4.527049,Jozef Israëls,Dutch & Northern,TRUE,coastal landscape
142.jpg,1632.5,52.25,5.75,Salomon van Ruysdael,Dutch & Northern,TRUE,river/lakeside landscape
143.jpg,1798,52.25,5.75,Joseph Mallord William Turner,Romanticism,FALSE,coastal landscape
144.jpg,1885,52.066667,4.35,Willem Maris,Dutch & Northern,TRUE,river/lakeside landscape
145.jpg,1665,52.25,5.75,Jacob van Ruisdael,Dutch & Northern,TRUE,river/lakeside landscape
146.jpg,1660,52.25,5.75,Salomon van Ruysdael,Dutch & Northern,TRUE,open countryside
147.jpg,1670,52.366667,4.65,Jacob van Ruisdael,Dutch & Northern,TRUE,open countryside
148.jpg,1658,52.25,5.75,Adriaen van de Velde,Dutch & Northern,TRUE,woodland landscape
149.jpg,1626,52.25,5.75,Cornelis Vroom,Dutch & Northern,TRUE,river/lakeside landscape
15.jpg,1748,52.033333,0.766667,Thomas Gainsborough,Rococo & Arcadian,FALSE,woodland landscape
150.jpg,1665,52.35,4.916667,Meindert Hobbema,Dutch & Northern,TRUE,open countryside
151.jpg,1655,51.958037,4.3309,Egbert van der Poel,Dutch & Northern,TRUE,urban/architectural landscape
152.jpg,1695,51.916667,4.5,Abraham Storck,Dutch & Northern,TRUE,river/lakeside landscape
153.jpg,1664.5,52.143509,5.044809,Aert van der Neer,Dutch & Northern,TRUE,river/lakeside landscape
154.jpg,1660,52.3745210721765,4.88368081771659,Jan van der Heyden,Dutch & Northern,TRUE,urban/architectural landscape
155.jpg,1648,51.9567988263609,5.56440018090536,Salomon van Ruysdael,Dutch & Northern,TRUE,river/lakeside landscape
156.jpg,1657.5,51.799015,4.741591,Willem van Drielenburgh,Dutch & Northern,TRUE,river/lakeside landscape
157.jpg,1650,51.8142563989787,4.65998073911193,Aelbert Cuyp,Dutch & Northern,TRUE,open countryside
158.jpg,1651,51.8142563989787,4.65998073911193,Aelbert Cuyp,Dutch & Northern,TRUE,open countryside
159.jpg,1657,52.2803963878112,6.11315193582824,Salomon van Ruysdael,Dutch & Northern,TRUE,river/lakeside landscape
16.jpg,1871,51.4311598472008,-0.0606826265325253,Camille Pissarro,Impressionism,FALSE,urban/architectural landscape
160.jpg,1659,52.25,5.75,Philips Wouwerman,Dutch & Northern,TRUE,coastal landscape
161.jpg,1664,52.373015,4.898557,Meindert Hobbema,Dutch & Northern,TRUE,urban/architectural landscape
162.jpg,1671,52.425662710787,4.62262312511876,Meindert Hobbema,Dutch & Northern,TRUE,river/lakeside landscape
163.jpg,1775,52.25,5.75,Aelbert Cuyp,Dutch & Northern,TRUE,open countryside
164.jpg,1669,52.25,5.75,Cornelis Decker,Dutch & Northern,TRUE,woodland landscape
165.jpg,1645,52.25,5.75,Jan van Goyen,Dutch & Northern,TRUE,river/lakeside landscape
166.jpg,1663,52.25,5.75,Meindert Hobbema,Dutch & Northern,TRUE,river/lakeside landscape
167.jpg,1665,52.366667,4.65,Jan Wijnants,Dutch & Northern,TRUE,mountain/rocky landscape
168.jpg,1650,51.916667,4.5,Jan van de Cappelle,Dutch & Northern,TRUE,river/lakeside landscape
169.jpg,1630,52.3354128966685,5.07149826662547,Arent Arentsz.,Dutch & Northern,TRUE,river/lakeside landscape
17.jpg,1820,51.9714596589003,0.979193115567169,John Constable,Romanticism,FALSE,river/lakeside landscape
