label,balance,n,est,lo,hi,n_nonzero,est_nz,lo_nz,hi_nz,spearman,survives,note
"A uncorrected, unadjusted",b1,238,0.9044066187567127,0.3494536541218516,1.4593595833915738,94,-0.09346596150758454,-0.5501555542078826,0.3632236311927135,0.23927898377425735,FALSE,ok/ok
"B uncorrected, + expert scene type",b1,238,1.01051016155933,0.5157883590904228,1.505231964028237,94,0.001971068189153727,-0.4455093689969806,0.44945150537528805,0.23927898377425735,FALSE,ok/ok
"B uncorrected, + scene type + school",b1,238,0.30133626086552556,-0.2508352760074778,0.8535077977385289,94,-0.3568153496613439,-0.9616558471885116,0.24802514786582386,0.23927898377425735,FALSE,ok/ok
"C uncorrected, Dutch core",b1,110,0.14003194002717556,-0.7864065336429278,1.066470413697279,39,-1.0643960079873271,-1.6354079427990724,-0.49338407317558175,0.21691596817616457,FALSE,ok/ok
"A corrected, unadjusted",b1,238,1.1872210938909467,0.573355490139851,1.8010866976420423,56,0.026968962747300883,-0.41949187022594636,0.4734297957205481,0.2728020160949546,FALSE,ok/ok
"B corrected, + expert scene type",b1,238,1.3208684132646196,0.772330963669518,1.869405862859721,56,0.15412290504804813,-0.32522150958503415,0.6334673196811303,0.2728020160949546,FALSE,ok/ok
"B corrected, + scene type + school",b1,238,0.38946064835999916,-0.33978898506799793,1.1187102817879961,56,-0.9639613582824478,-1.589066654065205,-0.33885606249969047,0.2728020160949546,FALSE,ok/ok
"C corrected, Dutch core",b1,110,0.4603940350514279,-1.1650205569706986,2.0858086270735545,23,-0.020357634482356196,-5.186281490409838,5.145566221445126,0.21411417075868885,FALSE,ok/ok
"A uncorrected, unadjusted",b2,238,-0.10066257532880073,-0.9751964250047244,0.7738712743471229,101,-0.5122257006092351,-0.95409544448899,-0.0703559567294803,-0.026202457775860635,TRUE,ok/ok
"B uncorrected, + expert scene type",b2,238,0.3733323327888436,-0.2912600343524232,1.0379246999301104,101,-0.26445546435015066,-0.6891401724420918,0.16022924374179048,-0.026202457775860635,FALSE,ok/ok
"B uncorrected, + scene type + school",b2,238,-0.27026044807711286,-1.2877691273249283,0.7472482311707025,101,-0.2082824696209523,-0.7682534236382151,0.3516884843963105,-0.026202457775860635,FALSE,ok/ok
"C uncorrected, Dutch core",b2,110,-1.1596195037572745,-2.9210484575043623,0.601809449989813,40,-0.5442433348026792,-1.1242280711528192,0.03574140154746086,-0.006686415092913098,FALSE,ok/ok
"A corrected, unadjusted",b2,238,-0.1106008550897537,-1.052501057362023,0.8312993471825155,58,0.07569540325519311,-0.28359293980278655,0.4349837463131728,0.015701889034969573,FALSE,ok/ok
"B corrected, + expert scene type",b2,238,0.3921726816203906,-0.3206731827964571,1.1050185460372384,58,0.06069815544678755,-0.2648564410507319,0.38625275194430697,0.015701889034969573,FALSE,ok/ok
"B corrected, + scene type + school",b2,238,0.11367445519938589,-1.082025149999889,1.3093740603986606,58,0.10649048420471457,-0.540658391457715,0.753639359867144,0.015701889034969573,FALSE,ok/ok
"C corrected, Dutch core",b2,110,-0.6643335732174861,-2.4489505122774036,1.1202833658424312,23,-0.7159767068351457,-3.4783576008105017,2.04640418714021,0.09140807677626137,FALSE,ok/ok
"A uncorrected, unadjusted",b3,238,-0.08978409089946739,-0.5534399937255944,0.3738718119266596,185,-0.21617613020089282,-0.43787925824917495,0.005526997847389303,-0.11178186298235734,FALSE,ok/ok
"B uncorrected, + expert scene type",b3,238,-0.12038611025009159,-0.5686122137345748,0.32783999323439167,185,-0.19550673130567015,-0.41647576703751255,0.025462304426172255,-0.11178186298235734,FALSE,ok/ok
"B uncorrected, + scene type + school",b3,238,-0.46767948435320333,-1.1019803546395728,0.16662138593316617,185,-0.36855012150971345,-0.5931945317188698,-0.1439057113005571,-0.11178186298235734,TRUE,ok/ok
"C uncorrected, Dutch core",b3,110,-0.6053941951819126,-1.7900410969442648,0.5792527065804396,81,-0.2126345597618191,-0.5224945864205217,0.09722546689688355,-0.09320684446321,FALSE,ok/ok
"A corrected, unadjusted",b3,238,-0.31024818470176885,-0.9103854590032032,0.28988908959966553,143,-0.3580448839016692,-0.585099966737812,-0.1309898010655265,-0.1441937262673363,TRUE,ok/ok
"B corrected, + expert scene type",b3,238,-0.2711612295013864,-0.8413617237792546,0.29903926477648185,143,-0.32234910738075395,-0.5465940844434547,-0.09810413031805323,-0.1441937262673363,TRUE,ok/ok
