school,raw_label,n
Baroque,flemish baroque,7
Baroque,baroque,6
Baroque,french baroque,1
Classicism & Neoclassicism,classicism,16
Classicism & Neoclassicism,neoclassicism,5
Classicism & Neoclassicism,classical,2
Dutch & Northern,dutch golden age,92
Dutch & Northern,dutch italianate,11
Dutch & Northern,hague school,4
Dutch & Northern,dusseldorf school,3
Dutch & Northern,danish golden age,2
Dutch & Northern,dutch romanticism,2
Dutch & Northern,emulating dutch golden age,1
Impressionism,impressionism,12
Italianate & Vedute,italianate,4
Italianate & Vedute,venetian veduta,2
Italianate & Vedute,venetian,1
Realism & Barbizon,realism,23
Realism & Barbizon,barbizon school,18
Rococo & Arcadian,rococo,4
Rococo & Arcadian,arcadism,3
Rococo & Arcadian,arcadian,1
Rococo & Arcadian,spanish rococo,1
Romanticism,romanticism,13
Spanish School,spanish school,1
Unspecified / Other,?,3
