painter,n_works
Jean-Baptiste-Camille Corot,16
Jacob van Ruisdael,15
Aelbert Cuyp,9
Meindert Hobbema,9
Jan Both,6
Jan Wijnants,6
John Constable,6
Charles-François Daubigny,5
Claude Monet,5
Gaspard Dughet,5
Gustave Courbet,5
Salomon van Ruysdael,5
Adriaen van de Velde,4
Jan van Goyen,4
Karel Dujardin,4
Narcisse-Virgilio Diaz de la Peña,4
Nicolaes Berchem,4
Peter Paul Rubens,4
Philips Wouwerman,4
Théodore Rousseau,4
Aert van der Neer,3
Alexandre Calame,3
Camille Pissarro,3
Claude-Joseph Vernet,3
Giuseppe Zais,3
Henri-Joseph Harpignies,3
Isack van Ostade,3
Jan van der Heyden,3
Nicolas Poussin,3
Thomas Gainsborough,3
Bernardo Bellotto,2
Charles Rémond,2
Claude,2
Crescenzio Onofri,2
David Teniers the Younger,2
Eugène Boudin,2
Frederick de Moucheron,2
Jacob Maris,2
Jan van de Cappelle,2
Michele Marieschi,2
Paulus Potter,2
Philips Koninck,2
Richard Wilson,2
Willem van de Velde,2
Abraham Begeijn,1
Abraham Storck,1
Adolph Menzel,1
Alfred Sisley,1
Allart van Everdingen,1
Andries Vermeulen,1
Antoine Chintreuil,1
Antoine-Louis Barye,1
Antoine-Victor-Edmond-Madeleine Joinville,1
Arent Arentsz.,1
Canaletto,1
Caspar David Friedrich,1
Christen Købke,1
Christoffer Wilhelm Eckersberg,1
Cornelis Decker,1
Cornelis Vroom,1
Cornelis van Poelenburgh,1
Cornelis van der Schalcke,1
Egbert van der Poel,1
Esaias van de Velde,1
Francesco Guardi,1
Francesco Zuccarelli,1
François Bonvin,1
François Boucher,1
François Millet,1
François-Xavier Fabre,1
Gabriel-Jacques de Saint-Aubin,1
Georges Michel,1
Giovanni Battista Viola,1
Hendrick Avercamp,1
Hendrik Frans van Lint,1
Jan Beerstraaten,1
Jan-Baptist Huysmans,1
Jean Joseph Xavier Bidauld,1
Jean-Michel Cels,1
Johan Christian Dahl,1
Joris van der Haagen,1
Joseph Mallord William Turner,1
Joseph Parrocel,1
Jozef Israëls,1
Jules-Louis Dupré,1
Lodewijck van Ludick,1
Lucas van Uden  and David Teniers the Younger,1
Luis Paret,1
Paul Huet,1
Philippe Rousseau,1
Pierre-Auguste Renoir,1
Pieter Verbeeck,1
Richard Parkes Bonington,1
Salvator Rosa,1
Simon Denis,1
Spanish,1
Willem Buytewech the Younger,1
Willem Koekkoek,1
Willem Maris,1
Willem van Drielenburgh,1
